med_condition_id,med_condition
213,PROSTATE ADENOCARCINOMA
257,TYPE 2 DIABETES
19,ASTHMA
61,CYSTIC FIBROSIS
179,NON-SMALL CELL LUNG CANCER
827,SURGERY
858,FONTAN PALLIATION
884,TYMPANOSTOMY
63,DIABETES MELLITUS
224,RHEUMATOID ARTHRITIS
79,FABRY DISEASE
553,ANASTHESIA
252,TOURETTES SYNDROME
230,SEPSIS
497,NON-CYSTIC FIBROSIS BRONCHIECTASIS
86,GASTROINTESTINAL STROMAL TUMOR (GIST)
817,HIGH GRADE SQUAMOUS INTRAEPITHELIAL LESION (HSIL) OF THE CERVIX
340,SEDATION
890,PERIOPERATIVE PAIN
681,LUPUS NEPHRITIS
146,LUNG DISEASE
136,JUVENILE IDIOPATHIC ARTHRITIS (JIA)
724,SQUAMOUS CELL CARCINOMA OF THE HEAD AND NECK
73,ENDOMETRIAL CANCER
775,ARGINASE-1 DEFICIENCY
476,FOCAL SEGMENTAL GLOMERULOSCLEROSIS (FSGS)
764,HYPERMUTANT CANCER
122,HYPERCHOLESTEROLEMIA
371,PSORIASIS
306,METABOLIC SYNDROME
772,CIRRHOSIS OF THE LIVER
783,DIABETIC RETINOPATHY
504,ACUTE MYOCARDIAL INFARCTION
519,ADVANCED HEPATOCELLULAR CARCINOMA
337,GASTRIC CANCER
759,NASAL POLYPOSIS
407,ABDOMINAL SURGERY
883,BOWEL RESECTION
635,LOWER RESPIRATORY TRACT INFECTION
814,ADULT ONSET STILL'S DISEASE
236,SMOKING CESSATION
380,GLABELLAR LINES
319,CHRONIC HEART FAILURE
770,HEPATIC VENO-OCCLUSIVE DISEASE
242,STRESS
491,POST PARTUM MOOD SYMPTOMS
860,BLOOD LOSS
250,THYROID CANCER
612,DESMOID TUMORS
395,HEREDITARY ANGIOEDEMA
112,HIDRADENITIS SUPPURATIVA
92,GLIOMA MALIGNANT
104,HEPATITIS C VIRUS GENOTYPE 1
868,PREVENTION OF RIGHT HEART FAILURE
873,HYPERGLYCEMIA
1241,DUODENAL BIOPSY
878,GLOMERULOPATHY
211,PRIMARY MYELOFIBROSIS (PMF)
227,SCHIZOPHRENIA
454,PROGRESSIVE FAMILIAL INTRAHEPATIC CHOLESTASIS
1118,THYROID EYE DISEASE
517,RECOVERY AFTER ANESTHESIA
1168,PULMONARY FIBROSIS
659,VASOMOTOR SYMPTOMS
1180,FOCAL CORTICAL DYSPLASIA (FCD)
1189,CHOREA
663,EPISODIC MIGRAINE
654,MYELOPROLIFERATIVE NEOPLASMS
820,HEPATO CELLULAR CARCINOMA
992,MASTOCYTOSIS
715,ALCOHOL USE DISORDER
316,OBSESSIVE COMPULSIVE DISORDER
1080,PRESBYOPIA
680,EPITHELIAL OVARIAN CANCER
927,GASTROESOPHAGEAL REFLUX DISEASE (GERD)
368,CARDIAC ARREST
593,DRY EYE DISEASE
282,HEPATIC ENCEPHALOPATHY
829,CRITICALLY ILL
1025,OPIOID USE DISORDER
484,LIVER TRANSPLANTATION
1098,ATHEROSCLEROTIC PLAQUE PROGRESSION
597,ESSENTIAL TREMOR
515,THROMBOCYTOPENIA
128,IMMUNE THROMBOCYTOPENIA (ITP)
1233,PRETERM INFANCY
1046,HEREDITARY TRANSTHYRETIN-MEDIATED AMYLOID POLYNEUROPATHY
67,DISCOID LUPUS ERYTHEMATOSUS
1002,ER+/HER2-BREAST CANCER
1158,PRECANCEROUS LESION
1091,KIDNEY STONES
1150,LICHEN SCLEROSUS
564,RETINOPATHY OF PREMATURITY
369,BILIARY ATRESIA
402,EOSINOPHILIC GRANULOMATOSIS
373,OVARIAN STIMULATION
355,UTERINE LEIOMYOMA
34,CARCINOMA OF THE HEAD AND NECK
417,SUPRAVENTRICULAR TACHYCARDIA
420,ADDICTION
322,IDIOPATHIC CONSTIPATION
378,PAN-UVEITIS
586,OSTEOSARCOMA
133,INTRA-ABDOMINAL INFECTION
450,BINGE EATING DISORDER
510,SYMPTOMATIC PULMONARY HYPERTENSION ASSOCIATED WITH IDIOPATHIC INTERSTITIAL PNEUMONIAS
347,PICK'S DISEASE
342,MELANOMA WITH BRAF MUTATION
384,ABNORMAL WOUND HEALING
403,MASSETER MUSCLE HYPERTROPHY
1309,SLEEP DISORDER
1160,MULTIPLE SYSTEM ATROPHY
352,ESOPHAGEAL SQUAMOUS CELL CARCINOMA (ESCC)
1184,"IMMUNOGLOBULIN ANEPHROPATHY"
1128,AUTOIMMUNE CYTOPENIAS
847,POST-OPERATIVE URINARY RETENTION
769,RADIONECROSIS
1148,ACTIVE ROTATOR CUFF TENDINOPATHY
1149,GRIN DISORDERS
618,GRANULOMATOSIS
1249,ENDOMETRIOMA
1036,T CELL MALIGNANCY
1257,PIK3CA-RELATED OVERGROWTH SPECTRUM (PROS)
1090,BACTEREMIA
866,LUNG FUNCTION
1203,HYPERINSULINEMIA
287,ANUERISMAL SUBARACHNOID HAEMORRHAGE
472,VASCULAR DEPRESSION
556,ECTOPIC ACTH SECRETING (EAS) TUMORS
561,MELANOMA NEGATIVE FOR NRAS
396,UV-INDUCED IMMUNOSUPRESSION
376,INTERMEDIATE UVEITIS
408,RETROPERITONEAL SURGERY
467,ANALGESIA
451,TINNITUS
524,NEUROGENIC BLADDER DYSFUNCTION
570,PRIMARY AMENORRHEA
477,POST-POLIO SYNDROME
410,OCCLUSIONS
708,SKELETAL PATHOLOGY
143,LIVER / HEPATIC DYSFUNCTION
359,GASTROPARESIS
283,PRIMARY BLADDER OBSTRUCTION
276,OPIOID-INDUCED CONSTIPATION
436,CRANIOCEREBRAL TRAUMA
1271,PERICARDITIS
1177,GRANULOMATOSIS WITH POLYANGIITIS (GPA)
743,AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE
1041,ATOPIC HAND AND FOOT DERMATITIS
1259,PERITONEAL CARCINOMA
1328,POST INFLAMMATORY ANOSMIA
668,THROMBOSIS
828,ALPHA-1 ANTITRYPSIN DEFICIENCY (AATD)
1136,MIDGUT NEUROENDOCRINE TUMOUR (NET)
1164,MICROSCOPIC COLITIS
1179,DYSLIPIDEMIA
1146,ECZEMA
1178,NEPHROTIC SYNDROME
1244,GASTROESOPHAGEAL ADENOCARCINOMA
1210,CAT ALLERGY
823,REFRACTORY EPILEPTIC ENCEPHALOPATHY
1238,PERIPHERAL SPONDYLOARTHRITIS
693,ANTIBIOTIC RESISTANCE
1029,HYPOPLASTIC LEFT HEART SYNDROME (AUTO CELL-II)
1057,DEGENERATIVE SPONDYLOLISTHESIS
733,PRIMARY CILIARY DYSKINESIA
1030,BK VIREMIA
1200,CLEAR CELL SARCOMA
1074,SEBORRHEIC DERMATITIS
1229,JAW SURGERY
710,SYNOVIAL SARCOMA
40,CENTRAL RETINAL VEIN OCCLUSION
941,ANAL DYSPLASIA
742,FAMILIAL AMYLOIDOTIC POLYNEUROPATHY
679,LIPOPROTEIN PRODUCTION
709,ILEOSTOMY
1282,NOSEBLEED
1273,RADIATION DERMATITIS
1121,HYPOXIC ISCHEMIC ENCEPHALOPATHY
1346,ORBITAL CELLULITIS
1323,EXPANDED CORD BLOOD TRANSPLANTATION
57,CROHN'S DISEASE
258,ULCERATIVE COLITIS
170,MYOCARDIAL PERFUSION
574,AMYLOIDOSIS
719,ACUTE MYELOID LEUKEMIA
131,INFLUENZA
256,TYPE 1 DIABETES
191,PARKINSON'S DISEASE
174,NEUROPATHIC PAIN
796,METASTATIC SOLID TUMOURS
864,ATHEROSCLEROSIS
861,FIBRODYSPLASIA OSSIFICANS PROGRESSIVA (FOP)
727,CATARACT SURGERY
232,SICKLE CELL DISEASE
867,RADIATION ASSOCIATED LUNG INJURY
177,NON-HODGKIN LYMPHOMA
702,BREAST CANCER TRIPLE NEGATIVE
415,OVERWEIGHT/OBESITY
889,SCOLIOSIS
338,VENOUS THROMBOEMBOLISM
838,ALOPECIA AREATA
309,TUBEROUS SCLEROSIS COMPLEX (TSC)
844,ADENOCARCINOMA OF PANCREAS
851,GASTROINTESTINAL SURGERY
151,MACULAR EDEMA
853,ADENOVIRAL CONJUNCTIVITIS
346,FRONTOTEMPORAL DEMENTIA
606,CHRONIC SUBDURAL HEMATOMA
518,EGFR MUTATION SOLID MALIGNANCIES
700,UNSPECIFIED
649,PAROXYSMAL NOCTURNAL HEMOGLOBINURIA
27,BRAIN METASTASES
225,ROSACEA
1028,CORONAVIRUS DISEASE (COVID-19)
651,PROPHYLAXIS FOR THROMBOEMBOLISM PREVENTION
233,SICKLE CELL ANEMIA
240,SQUAMOUS CELL CARCINOMA
633,NEUROENDOCRINE TUMORS
849,INTRACRANIAL METASTASIS
620,EPISODIC CLUSTER HEADACHE
81,FALLOPIAN TUBE CANCER
404,INTRACEREBAL HEMORRAGE
641,MENINGITIS
210,PRIMARY IMMUNODEFICIENCY DISEASES
903,MALAR BAGS
614,ACUTE MAJOR BLEEDING
308,LEUKEMIA
592,HAIRY CELL LEUKEMIA
288,NEOVASCULAR AGE-RELATED MACULAR DEGENERATION
794,NON ALCOHOLIC FATTY LIVER DISEASE (NAFLD)
893,FOCAL-ONSET SEIZURES
293,MALIGNANT SOLID TUMOURS
530,VENOUS THROMBOSIS
31,BREAST CANCER METASTATIC
362,CHRONIC LYMPHOCYTIC LEUKEMIA
1225,CARDIAC ALLOGRAFT VASCULOPATHY
761,HYPOFIBRINOGENEMIA
543,TRAUMA
1059,ACHONDROPLASIA
1104,CANDIDIASIS
1068,UTERINE CANCER
960,FOOD ALLERGIES
475,RHINITIS
933,RELAPSED AND/OR REFRACTORY B-CELL LYMPHOMA
516,HER2 NEGATIVE METASTATIC OR LOCALLY ADVANCED UNRESECTABLE BRCA ASSOCIATED BREAST CANCER
499,ACUTE CORONARY SYNDROME
538,MAJOR CARDIOVASCULAR EVENTS
1081,LEBER CONGENITAL AMAUROSIS
549,OSTEOGENESIS IMPERFECTA
534,THALASSEMIA
1062,PROTOPORPHYRIA
1130,MULTIFOCAL MOTOR NEUROPATHY (MMN)
1230,CORNEAL ENDOTHELIAL DYSTROPHY
435,PREMATURE LABOUR
1219,ISOLATED METHYLMALONIC ACIDEMIA
264,URINARY TRACT INFECTION
588,TRANSTHYRETIN MEDIATED AMYLOIDOSIS
1124,LACERATION
1214,PERTUSSIS
457,END STAGE RENAL DISEASE
184,OVARIAN CANCER PRIMARY PERITONEAL
5,ACUTE BACTERIAL SKIN AND SKIN STRUCTURE INFECTIONS
443,VULVOVAGINAL ATROPHY
447,PULMONARY NODULES
375,BONE SCINTIGRAPHY
438,ORTHOSTATIC HYPOTENSION
238,SPINAL CORD LESION
290,LIPOPROTEIN PARTICLE PRODUCTION
418,SUPRAVENTRICULAR TACHYARRHYTHMIA
390,SUBFOVEAL NEOVASCULAR AGE-RELATED MACULAR DEGENERATION
398,NEUTROPSYCHIATRIC CONDITIONS
449,DOWN SYNDROME
68,DRUG ADDICTION
409,PELVIC SURGERY
545,UNRESECTABLE ADVANCED PERIHILAR CHOLANGIOCARCINOMA
360,NEPHROPATHY
547,LYSOSOMAL ACID LIPAS DEFICIENCY
706,RECURRENT MISCARRIAGE
495,INDOLENT SYSTEMIC MASTOCYTOSIS
575,LIGHT CHAIN DEPOSITION DISEASE
502,SPONTANEOUS CORONARY ARTERY DISSECTION (SCAD)
262,UREA CYCLE DISORDERS
452,CHOLESTATIC LIVER DISEASE
511,AXILLARY HYPERHIDROSIS
357,SITOSTEROLEMIA
354,AUTISM
382,CHOROIDEREMIA
277,HEALTH IMPROVEMENT
434,PRE-ECLAMPSIA
1105,CANDIDEMIA
1310,ENDOMETRIAL HYPERPLASIA
1173,ALVEOLAR SOFT PART SARCOMA
1280,MENSTRUAL MIGRAINE
1163,ALLOGRAFT DYSFUNCTION
1122,INFANT RESUSCITATION
1040,HER2-AMPLIFIED BILIARY TRACT CANCERS
1126,ARTERIOVENOUS MALFORMATIONS (AVM)
1147,GASTRO-ENTEROPANCREATIC NEUROENDOCRINE TUMORS
1000,XEROSTOMIA
1162,PRESSURE ULCERS
1170,POLYMYOSITIS
1246,PERIPHERAL NEUROPATHY
1194,OSTEORADIONECROSIS
1232,BIRCH POLLEN ALLERGY
1159,HYPERTROPHIC SCARS
1171,CLOSTRIDIOIDES DIFFICILE
1358,EOSINOPHILIC DISEASES
228,SECONDARY IMMUNODEFICIENCY DISEASES
1152,BRONCHIECTASIS
1202,BLOOD INFECTION
1217,PLATYSMA PROMINENCE
188,PANCREATIC NEUROENDOCRINE TUMORS
1265,URINARY RETENTION
1208,BORDETELLA PERTUSSIS
1222,GUILLAIN-BARRÉ SYNDROME
1167,SUBCONJUNCTIVAL HEMORRHAGE
1181,CERVICAL FACETOGENIC PAIN
876,COMPLEX REGIONAL PAIN SYNDROME (CRPS)
999,PAROTID GLAND HYPOFUNCTION
1063,HERNIA
982,LAMELLAR ICHTHYOSIS
1236,METHYLMALONIC ACIDEMIA
953,PEMPHIGUS
918,DISTAL RENAL TUBULAR ACIDOSIS
688,ENTEROBACTERIACEAE
1071,HEPATITIS D
728,FACIAL CAPILLARY MALFORMATIONS
605,HYPOTENSION
736,SUDDEN DEAFNESS
741,ATHLETE'S FOOT (TINEA PEDIS)
711,POSITRON EMISSION TOMOGRAPHY (PET)
686,CHILDHOOD SARCOMAS
660,EMBOLIC STROKE
1286,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY
1305,PLEUROPULMONARY BLASTOMA
1303,ERECTILE DYSFUNCTION
43,CHRONIC INFECTION DUE TO PSEUDOMONAS AERUGINOSA
1334,IGE-MEDIATED FOOD ALLERGY
1276,ANGIOGENIC SARCOMA
1332,COMPLEX CARDIOVASCULAR SURGERY
1268,CANNABIS USE DISORDER
1354,ATRIAL MITRAL REGURGITATION
161,MULTIPLE SCLEROSIS
897,UNRESECTABLE  HEPATOCELLULAR CARCINOMA
812,EPITHELIAL TUMOURS
12,ALLERGIES PEANUT
15,AMYOTROPHIC LATERAL SCLEROSIS (ALS)
183,OVARIAN CANCER
902,RADIAL ARTERY OCCLUSION
117,HUMAN IMMUNODEFICIENCY VIRUS (HIV)
399,CHRONIC SPONTANEOUS URTICARIA
361,DEMENTIA
349,HYPERTRIGLYCERIDEMIA
571,ADVANCED SOLID TUMORS
400,METASTATIC COLORECTAL CANCER
857,ANTIBODY AUTOIMMUNE HEMOLYTIC ANEMIA
212,OSTEOARTHRITIS OF THE KNEE
808,POSTURAL ORTHOSTATIC TACHYCARDIA SYNDROME
888,MULTIPLE OSTEOCHONDROMAS
691,LYMPHOMA
356,CERVICAL CANCER
1031,EPSTEIN-BARR VIRUS-RELATED LYMPHOPROLIFERATIVE DISEASES
36,CARCINOMAS OF THE ANAL CANAL
1166,ACNEFORM ERUPTIONS
955,IMMUNE THROMBOCYTOPENIC PURPURA (ITP)
487,RADICULOPATHY
1234,POSTPRANDIAL HYPERLIPIDEMIA
1072,ONYCHOMYCOSIS
636,PEDIATRIC-ONSET HYPOPHOSPHATASIA
977,HRRM/HRD POSITIVE ADVANCED CANCER
945,RESTLESS LEGS SYNDROME
940,OSTEOMEDULLARY DISEASE
907,POSTTRAUMATIC JOINT CONTRACTURES
23,BARRETT'S ESOPHAGUS (BE)
412,POSTPRANDIAL HYPOTENSION
298,INCOMPLETE ATYPICAL FEMUR FRACTURES
426,HYPERAMMONEMIA
683,NON-PROLIFERATIVE DIABETIC RETINOPATHY
674,HYPERTROPHIC GASTROCNEMIUS MUSCLES
661,SYSTEMIC EMBOLISM
253,TRANSFUSIONAL IRON OVERLOAD
1254,RIGHT VENTRICULAR FAILURE
1329,ACUTE POST-TRAUMATIC HEADACHES
1321,LUNG TRANSPLANTATION
1335,CHIMERIC ANTIGEN RECEPTOR T-CELL THERAPY
1348,MYOCARDITIS
